name,rating,price,no_of_ratings,no_of_reviews
USN Hyperbolic Mass French Vanilla  1Kg (2.2 Lbs),4.2 out of 5,"KSh 1,649",(378 verified ratings),Product Reviews (73)
Garnier Micellar Oil-Infused Cleansing Water (Oil In Water) - 100ml,4.4 out of 5,KSh 495,(261 verified ratings),Product Reviews (43)
MOOYAM 8  Organic Moisturizing Korean Facial Sheet Masks,4.6 out of 5,KSh 599,(27 verified ratings),Product Reviews (6)
Generic Magnetic Therapy Back Massager Stretcher Neck Stretch Tools,4.6 out of 5,"KSh 1,100",(10 verified ratings),Product Reviews (3)
Bisutang Eight Fruit Extract Moisturizing Korean Facial Sheet Masks,4.6 out of 5,KSh 549,(74 verified ratings),Product Reviews (23)
Maybelline SuperStay 30H Active Wear Foundation- 61 Warm Bronze,4.1 out of 5,"KSh 1,920",(51 verified ratings),Product Reviews (13)
Generic Electric Toothbrushes Whitening With 3 Brush Heads - PINK,4.2 out of 5,KSh 699,(69 verified ratings),Product Reviews (23)
Maybelline Fit Me Matte And Poreless Foundation - 332 Golden Caramel,4 out of 5,"KSh 1,445",(87 verified ratings),Product Reviews (29)
Maybelline Superstay Matte Ink Liquid Lipstick - 35 Creator,4.2 out of 5,"KSh 1,725",(37 verified ratings),Product Reviews (13)
Maybelline Volume Express Colossal Big Shot Mascara - Black,4.1 out of 5,"KSh 1,550",(22 verified ratings),Product Reviews (4)
Maybelline Superstay Matte Ink Brown Nude Liquid Lipstick 70 Amazonian,4.3 out of 5,"KSh 1,725",(14 verified ratings),Product Reviews (5)
Maybelline Falsies Lash Lift Washable Mascara,4.4 out of 5,"KSh 1,650",(16 verified ratings),Product Reviews (3)
Fashion 4-in-1 Men's Shirts Cotton Short Sleeve T-shirt,4.2 out of 5,"KSh 2,500",(1630 verified ratings),Product Reviews (596)
Fashion Men Sneakers Men's Fashion Sneakers Sports Casual Fashion Men's Shoes-white,4 out of 5,"KSh 1,121",(377 verified ratings),Product Reviews (137)
Fashion Mens Sneakers Shoes Mens Fashion Sneakers Mens Sport Shoes Casual Sneakers,4.4 out of 5,"KSh 1,550 - KSh 1,699",(85 verified ratings),Product Reviews (43)
Fashion 2 In 1 Tracksuits Mens Suits Track Suit Sportswear,4 out of 5,"KSh 1,500",(104 verified ratings),Product Reviews (45)
Fashion 2 Piece Men's T-Shirt & Shorts Set,3.8 out of 5,"KSh 1,180",(108 verified ratings),Product Reviews (51)
Fashion 2022 Mens Casual Classic Shoes Running Sneakers - White,4.1 out of 5,"KSh 1,699",(84 verified ratings),Product Reviews (38)
Fashion Men Printed T-shirt Slim Fit,4 out of 5,KSh 690,(65 verified ratings),Product Reviews (25)
Fashion 5 Pcs Mens Cotton T-shirts Short Sleeve Tees,4.2 out of 5,"KSh 2,500",(40 verified ratings),Product Reviews (21)
Fashion Mens Long Sleeve Shirts Casual Sweatshirts Sport,3.9 out of 5,"KSh 1,050",(155 verified ratings),Product Reviews (56)
Fashion Mens Boots Safety Boots Fashion Mens Shoes Boots Outdoor Hiking Boots -Khaki,4.5 out of 5,"KSh 2,230",(230 verified ratings),Product Reviews (87)
Fashion Men's Casual Long Sleeve Shirts Trendy Sweatshirts - Red,3.8 out of 5,KSh 998,(109 verified ratings),Product Reviews (36)
Fashion Men's Tooling High-top Platform Martin Boots,4.4 out of 5,"KSh 1,699 - KSh 1,799",(163 verified ratings),Product Reviews (76)
Fashion Men's Pants Straight Trousers High-Quality-Black,3.8 out of 5,"KSh 1,093",(130 verified ratings),Product Reviews (44)
Fashion Men's Boots Warm Mountaineering Boots Men's Shoes,4.1 out of 5,"KSh 1,399",(188 verified ratings),Product Reviews (96)
Fashion Knitted Beaines Skullies Beanies Bonnet--Navy Blue,4.4 out of 5,KSh 795,(26 verified ratings),Product Reviews (7)
Generic Ultra-thin Wireless Mouse 2.4G Rechargeable,4.5 out of 5,KSh 580,(684 verified ratings),Product Reviews (268)
Oraimo Senior BT5.0 Single Wireless Bluetooth Headsets,4.4 out of 5,KSh 750,(106 verified ratings),Product Reviews (53)
